Time,State1,State2,State3
0,2.941915,2.969867,3.137979
1,2.941915,2.969867,3.137979
2,2.941915,2.969867,3.137979
3,2.941915,2.969867,3.137979
4,2.941915,2.969867,3.137979
5,2.941915,2.969867,3.137979
6,2.941915,2.969867,3.137979
7,2.941915,2.969867,3.137979
8,2.941915,2.969867,3.137979
9,2.941915,2.969867,3.137979
10,2.941915,2.969867,3.137979
11,2.941915,2.969867,3.137979
12,2.941915,2.969867,3.137979
13,2.941915,2.969867,3.137979
14,2.941915,2.969867,3.137979
15,2.941915,2.969867,3.137979
16,2.941915,2.969867,3.137979
17,2.941915,2.969867,3.137979
18,2.941915,2.969867,3.137979
19,2.941915,2.969867,3.137979
20,2.941915,2.969867,3.137979
21,2.941915,2.969867,3.137979
22,2.941915,2.969867,3.137979
23,2.941915,2.969867,3.137979
24,2.891806,2.942503,3.111261
25,2.91519,2.919292,3.11315
26,2.90112,2.904713,3.113852
27,2.839777,2.858237,3.109766
28,2.850604,2.920706,3.057812
29,2.864223,2.918747,3.027514
30,2.865783,2.865605,3.026848
31,2.866409,2.860248,3.052701
32,2.851915,2.882371,3.045811
33,2.829329,2.866464,3.053904
34,2.807723,2.858094,3.041449
35,2.778025,2.869089,3.021215
36,2.753642,2.853202,3.03831
37,2.730429,2.891587,2.995491
38,2.730429,2.891587,2.995491
39,2.749363,2.894227,3.001022
40,2.749363,2.894227,3.001022
41,2.749363,2.894227,3.001022
42,2.749363,2.894227,3.001022
43,2.749363,2.894227,3.001022
44,2.773401,2.899071,2.983325
45,2.773401,2.899071,2.983325
46,2.783111,2.919834,2.982117
47,2.77794,2.921262,2.952584
48,2.812091,2.920646,2.95545
49,2.818023,2.98543,2.993239
50,2.809118,2.983749,2.997811
51,2.826464,2.991048,3.005079
52,2.829985,3.004903,2.99596
53,2.804585,3.012574,2.972541
54,2.854383,3.01813,2.969817
55,2.814762,3.02459,2.972833
56,2.830021,2.98591,2.963327
57,2.84439,2.982434,2.955294
58,2.87205,2.985089,2.946805
59,2.900173,2.97524,2.945426
60,2.900173,2.97524,2.945426
61,2.901951,2.970042,2.94859
62,2.931801,2.946977,2.97331
63,2.917144,2.934823,2.983227
64,2.923712,2.944209,2.985144
65,2.920957,2.925907,2.981028
66,2.951066,2.902278,2.959034
67,2.951066,2.902278,2.959034
68,2.908531,2.894089,2.926746
69,2.926097,2.89291,2.922897
70,2.926097,2.89291,2.922897
71,2.91653,2.869839,2.926215
72,2.904884,2.857998,2.941081
73,2.904884,2.857998,2.941081
74,2.900454,2.873531,2.935239
75,2.900454,2.873531,2.935239
76,2.903113,2.873056,2.926687
77,2.896945,2.873102,2.927174
78,2.919436,2.868702,2.942799
79,2.90218,2.857529,2.948068
80,2.928253,2.888733,2.958649
81,2.934163,2.896821,2.958125
82,2.941451,2.886289,2.96134
83,2.922388,2.859544,2.949092
84,2.882729,2.830041,2.942343
85,2.873298,2.846934,2.949317
86,2.860978,2.842373,2.945795
87,2.858486,2.822554,2.946104
88,2.852425,2.811573,2.970583
89,2.852425,2.811573,2.970583
90,2.844018,2.813962,2.966192
91,2.844018,2.813962,2.966192
92,2.842866,2.810953,2.952798
93,2.866603,2.808591,2.963702
94,2.892656,2.815166,2.976948
95,2.898895,2.837471,2.971975
96,2.896816,2.832047,2.967576
97,2.931972,2.831628,2.970014
98,2.909498,2.852865,2.967042
99,2.901987,2.866975,2.948882
100,2.901987,2.866975,2.948882
101,2.890331,2.864423,2.949028
102,2.890371,2.832922,2.950467
103,2.864496,2.838447,2.95445
