Time,State1,State2,State3
0,2.964843,3.033715,2.862135
1,2.964843,3.033715,2.862135
2,2.964843,3.033715,2.862135
3,2.964843,3.033715,2.862135
4,2.964843,3.033715,2.862135
5,2.964843,3.033715,2.862135
6,2.964843,3.033715,2.862135
7,2.964843,3.033715,2.862135
8,2.964843,3.033715,2.862135
9,2.964843,3.033715,2.862135
10,2.964843,3.033715,2.862135
11,2.964843,3.033715,2.862135
12,2.964843,3.033715,2.862135
13,2.964843,3.033715,2.862135
14,2.964843,3.033715,2.862135
15,2.964843,3.033715,2.862135
16,2.964843,3.033715,2.862135
17,2.964843,3.033715,2.862135
18,2.964843,3.033715,2.862135
19,2.964843,3.033715,2.862135
20,2.964843,3.033715,2.862135
21,2.964843,3.033715,2.862135
22,2.964843,3.033715,2.862135
23,2.964843,3.033715,2.862135
24,2.949147,3.011054,2.915314
25,2.894855,3.097624,2.929037
26,2.894855,3.097624,2.929037
27,2.871087,3.085448,2.945604
28,2.871087,3.085448,2.945604
29,2.871087,3.085448,2.945604
30,2.855254,3.044661,2.918815
31,2.855254,3.044661,2.918815
32,2.878629,3.112724,2.945052
33,2.892758,3.050064,2.934894
34,2.919674,3.044036,2.944566
35,2.928245,3.0154,2.932042
36,2.942152,3.015956,2.918007
37,2.915447,3.024079,2.932575
38,2.936234,3.023737,2.956946
39,2.928776,3.018621,2.953919
40,2.908105,3.017281,2.931439
41,2.933624,3.007262,2.917707
42,2.97499,2.961053,2.893526
43,2.964497,2.911808,2.886694
44,2.964497,2.911808,2.886694
45,2.964497,2.911808,2.886694
46,2.964497,2.911808,2.886694
47,2.964497,2.911808,2.886694
48,2.964497,2.911808,2.886694
49,2.966461,2.922978,2.908689
50,2.970531,2.886603,2.936981
51,2.960552,2.862684,2.921763
52,3.015943,2.858947,2.934689
53,3.078221,2.856645,2.930706
54,3.073954,2.874055,2.939656
55,3.053832,2.912575,2.891307
56,3.070931,2.896685,2.879433
57,3.034831,2.932756,2.864321
58,3.010553,2.956458,2.854481
59,3.011371,2.93844,2.824999
60,3.049106,2.94591,2.838928
61,3.063812,2.930399,2.886504
62,3.066468,2.927735,2.869497
63,3.043664,2.949704,2.849933
64,3.043664,2.949704,2.849933
65,3.043664,2.949704,2.849933
66,3.053108,2.948344,2.863387
67,3.065768,2.94286,2.879379
68,3.071773,2.932685,2.873995
69,3.071773,2.932685,2.873995
70,3.095908,2.914063,2.898566
71,3.083319,2.923521,2.901558
72,3.052071,2.904328,2.879361
73,3.077048,2.885561,2.900651
74,3.080232,2.881806,2.893328
