Time,State1,State2,State3
0,3.133022,2.793068,3.004299
1,3.133022,2.793068,3.004299
2,3.133022,2.793068,3.004299
3,3.133022,2.793068,3.004299
4,3.133022,2.793068,3.004299
5,3.133022,2.793068,3.004299
6,3.133022,2.793068,3.004299
7,3.133022,2.793068,3.004299
8,3.133022,2.793068,3.004299
9,3.133022,2.793068,3.004299
10,3.133022,2.793068,3.004299
11,3.133022,2.793068,3.004299
12,3.133022,2.793068,3.004299
13,3.133022,2.793068,3.004299
14,3.133022,2.793068,3.004299
15,3.133022,2.793068,3.004299
16,3.133022,2.793068,3.004299
17,3.133022,2.793068,3.004299
18,3.133022,2.793068,3.004299
19,3.133022,2.793068,3.004299
20,3.133022,2.793068,3.004299
21,3.133022,2.793068,3.004299
22,3.133022,2.793068,3.004299
23,3.133022,2.793068,3.004299
24,3.180689,2.767554,3.124731
25,3.180689,2.767554,3.124731
26,3.197905,2.758383,3.153147
27,3.197905,2.758383,3.153147
28,3.177988,2.740831,3.113975
29,3.195296,2.727988,3.148884
30,3.196542,2.795041,3.09206
31,3.231812,2.793429,3.120327
32,3.243424,2.782428,3.136822
33,3.243424,2.782428,3.136822
34,3.270266,2.777443,3.130544
35,3.270266,2.777443,3.130544
36,3.253597,2.760316,3.116308
37,3.253597,2.760316,3.116308
38,3.234902,2.733315,3.159285
39,3.196388,2.677239,3.145406
40,3.228265,2.700374,3.122674
41,3.228265,2.700374,3.122674
42,3.228265,2.700374,3.122674
43,3.218053,2.683066,3.128974
44,3.208928,2.670304,3.12802
45,3.208928,2.670304,3.12802
46,3.208928,2.670304,3.12802
47,3.215012,2.679566,3.083767
48,3.215012,2.679566,3.083767
49,3.206872,2.674117,3.071775
50,3.206902,2.673452,3.069682
51,3.231945,2.713848,3.075607
52,3.241849,2.713768,3.078508
53,3.241849,2.713768,3.078508
54,3.241849,2.713768,3.078508
55,3.224975,2.683506,3.076939
56,3.222975,2.646746,3.079344
57,3.239089,2.711386,3.105598
58,3.239089,2.711386,3.105598
59,3.239089,2.711386,3.105598
60,3.244286,2.712987,3.112547
61,3.244286,2.712987,3.112547
62,3.259938,2.732777,3.101903
63,3.259938,2.732777,3.101903
64,3.250488,2.733204,3.098383
65,3.228044,2.705193,3.098761
66,3.214755,2.711148,3.05499
67,3.186402,2.655139,3.031126
68,3.180465,2.646255,3.018895
69,3.180465,2.646255,3.018895
70,3.180465,2.646255,3.018895
71,3.189062,2.637466,3.00701
72,3.189062,2.637466,3.00701
73,3.160229,2.580082,3.016811
74,3.166122,2.579906,3.032263
75,3.166122,2.579906,3.032263
76,3.178038,2.582263,3.046962
77,3.164233,2.568301,3.046639
78,3.167871,2.553327,3.048468
