Time,State1,State2,State3
0,3.042622,3.078849,2.768702
1,3.042622,3.078849,2.768702
2,3.042622,3.078849,2.768702
3,3.042622,3.078849,2.768702
4,3.042622,3.078849,2.768702
5,3.042622,3.078849,2.768702
6,3.042622,3.078849,2.768702
7,3.042622,3.078849,2.768702
8,3.042622,3.078849,2.768702
9,3.042622,3.078849,2.768702
10,3.042622,3.078849,2.768702
11,3.042622,3.078849,2.768702
12,3.042622,3.078849,2.768702
13,3.042622,3.078849,2.768702
14,3.042622,3.078849,2.768702
15,3.042622,3.078849,2.768702
16,3.042622,3.078849,2.768702
17,3.042622,3.078849,2.768702
18,3.042622,3.078849,2.768702
19,3.042622,3.078849,2.768702
20,3.042622,3.078849,2.768702
21,3.042622,3.078849,2.768702
22,3.042622,3.078849,2.768702
23,3.042622,3.078849,2.768702
24,3.091737,3.080736,2.746151
25,3.091737,3.080736,2.746151
26,3.063823,3.051365,2.759293
27,3.094879,3.094843,2.810805
28,3.081785,3.129938,2.867806
29,3.097812,3.096998,2.903811
30,3.08403,3.090575,2.907293
31,3.09313,3.089329,2.904639
32,3.108938,3.111635,2.914116
33,3.109553,3.154247,2.891853
34,3.103938,3.119949,2.882718
35,3.121847,3.110934,2.926178
36,3.121847,3.110934,2.926178
37,3.121847,3.110934,2.926178
38,3.137722,3.121777,2.906663
39,3.137722,3.121777,2.906663
40,3.15391,3.129591,2.941437
41,3.158558,3.132685,2.954255
42,3.146865,3.151968,2.936854
43,3.110729,3.136767,2.881841
44,3.110729,3.136767,2.881841
45,3.121761,3.117302,2.909137
46,3.121738,3.105536,2.92122
47,3.119878,3.089997,2.930851
48,3.119878,3.089997,2.930851
49,3.130367,3.085723,2.908809
50,3.160419,3.114654,2.934836
51,3.162035,3.123293,2.94667
52,3.169181,3.111166,2.941203
53,3.115377,3.047007,2.888354
54,3.140225,3.133214,2.93188
55,3.117916,3.104234,2.910069
56,3.11788,3.12341,2.963552
57,3.151829,3.136793,2.990811
58,3.183815,3.121965,3.030265
