Time,State1,State2,State3
0,3,3,3
1,3,3,3
2,3,3,3
3,3,3,3
4,3,3,3
5,3,3,3
6,3,3,3
7,3,3,3
8,3,3,3
9,3,3,3
10,3,3,3
11,3,3,3
12,3,3,3
13,3,3,3
14,3,3,3
15,3,3,3
16,3,3,3
17,3,3,3
18,3,3,3
19,3,3,3
20,3,3,3
21,3,3,3
22,3,3,3
23,3,3,3
24,3,3,3
25,3,3,3
26,3.004201,3.00389,2.999746
27,3.000831,3.005856,2.996121
28,2.999533,3.010084,2.994914
29,2.998263,3.008348,2.994356
30,3.001633,3.009731,2.99302
31,3.005121,3.009441,2.99603
32,3.005892,3.005569,2.994932
33,3.001722,3.013737,2.997203
34,3.001722,3.013737,2.997203
35,3.008576,3.01223,3.003448
36,3.006521,3.007161,3.003085
37,3.006652,3.008312,3.00557
38,3.003448,3.006514,3.004145
39,3.006104,3.007728,3.003583
40,3.009232,3.010023,3.006678
41,3.009232,3.010023,3.006678
42,3.006631,3.010381,3.004698
43,2.99831,3.016381,3.001792
44,2.998086,3.015251,3.003102
45,3.000947,3.013651,3.005467
46,2.999222,3.013644,3.004628
47,3.006186,3.008695,3.005842
48,3.006274,3.008616,3.005292
49,3.005945,3.008731,3.002103
50,3.000635,3.013574,2.998362
51,3.00264,3.012881,2.999325
52,3.004438,3.01226,2.998842
53,3.002833,3.011808,2.997309
54,3.002833,3.011808,2.997309
55,2.997406,3.015466,2.994413
56,2.992151,3.011593,2.994642
57,2.992151,3.011593,2.994642
58,2.99049,3.011894,2.994125
59,2.9907,3.007353,2.997511
60,2.988847,3.00683,2.993893
61,2.9887,3.007997,2.994586
62,2.992363,3.004608,2.994585
63,2.990924,3.008698,2.992056
64,2.995661,3.007493,2.994882
65,2.995661,3.007493,2.994882
66,2.998925,3.012559,3.000438
67,2.999678,3.008966,2.995996
68,2.998828,3.006829,3.000159
69,2.995405,3.008743,3.002966
70,2.993737,3.009042,3.000213
71,2.998051,3.012405,2.997671
72,2.998051,3.012405,2.997671
73,2.997883,3.015774,2.998729
74,2.997883,3.015774,2.998729
75,3.000715,3.016351,3.006528
76,2.998635,3.018944,3.003949
77,3.00567,3.023336,2.999238
78,3.002432,3.027268,3.002868
79,3.00645,3.040118,3.011952
80,2.999689,3.034146,3.013694
81,2.9929,3.030403,3.015519
82,2.9809,3.036012,3.007169
83,2.9809,3.036012,3.007169
84,2.971865,3.03132,3.003193
85,2.971689,3.032146,3.001292
86,2.970836,3.039358,2.997931
87,2.968859,3.038306,2.997379
88,2.977129,3.038952,3.000732
89,2.978636,3.035498,3.000809
90,2.978636,3.035498,3.000809
91,2.978636,3.035498,3.000809
92,2.978636,3.035498,3.000809
93,2.978066,3.040195,3.002642
94,2.976517,3.043907,2.993718
95,2.970745,3.036068,2.996093
96,2.970552,3.035775,2.996788
97,2.970882,3.037607,2.996233
98,2.970465,3.035573,2.999855
99,2.973174,3.032419,3.005162
100,2.973245,3.023487,2.99648
101,2.972248,3.022395,2.997177
102,2.979753,3.031224,2.996484
103,2.978325,3.028649,2.989271
104,2.984568,3.032172,2.992079
105,2.989995,3.032318,2.994803
106,2.992748,3.031107,2.993542
107,2.997706,3.034374,2.99471
108,3.003504,3.035022,2.994005
109,2.992174,3.054704,2.998838
