Time,State1,State2,State3
0,3.011984,3.043938,3.100693
1,3.011984,3.043938,3.100693
2,3.011984,3.043938,3.100693
3,3.011984,3.043938,3.100693
4,3.011984,3.043938,3.100693
5,3.011984,3.043938,3.100693
6,3.011984,3.043938,3.100693
7,3.011984,3.043938,3.100693
8,3.011984,3.043938,3.100693
9,3.011984,3.043938,3.100693
10,3.011984,3.043938,3.100693
11,3.011984,3.043938,3.100693
12,3.011984,3.043938,3.100693
13,3.011984,3.043938,3.100693
14,3.011984,3.043938,3.100693
15,3.011984,3.043938,3.100693
16,3.011984,3.043938,3.100693
17,3.011984,3.043938,3.100693
18,3.011984,3.043938,3.100693
19,3.011984,3.043938,3.100693
20,3.011984,3.043938,3.100693
21,3.011984,3.043938,3.100693
22,3.011984,3.043938,3.100693
23,3.011984,3.043938,3.100693
24,2.941263,3.022419,3.104057
25,2.951634,2.98864,3.077533
26,2.944412,3.013503,3.072041
27,2.929241,3.012111,3.018966
28,2.987942,3.022834,3.010362
29,3.00792,3.015593,3.010478
30,3.008863,3.066606,3.008114
31,3.013694,3.069532,3.0343
32,3.027259,3.036394,2.99437
33,3.074651,3.020231,2.969631
34,3.038979,3.025607,2.973886
35,3.049892,3.033321,2.979517
36,3.080096,3.0476,2.99434
37,3.080096,3.0476,2.99434
38,3.084397,3.05885,3.002218
39,3.045452,3.028698,3.034588
40,3.005601,3.032175,3.05585
41,3.021899,3.03476,3.077879
42,3.025819,3.043667,3.059347
43,3.029971,3.047197,3.046318
44,3.029971,3.047197,3.046318
45,3.029971,3.047197,3.046318
46,3.029971,3.047197,3.046318
47,3.033941,3.042362,3.060576
48,3.040956,3.028079,3.055133
49,3.012232,3.035209,3.066972
50,3.02005,3.020577,3.05996
51,2.993715,3.010776,3.037875
52,2.977587,2.997823,3.015386
53,2.981982,3.007397,3.038136
54,2.975421,3.000941,3.030143
55,2.997244,3.0158,3.043125
56,3.005463,3.035347,3.043102
57,3.018282,3.021528,3.028357
58,3.000539,3.021646,3.042871
59,2.99543,3.025823,3.024157
60,2.994186,3.042551,3.036003
61,2.994186,3.042551,3.036003
62,2.994186,3.042551,3.036003
63,2.986489,3.070978,3.030119
64,2.984062,3.066957,3.039138
65,3.067123,3.125196,3.039327
66,3.075521,3.142654,3.021226
67,3.094476,3.129224,3.021385
68,3.086432,3.139054,3.010845
69,3.113282,3.137938,3.017658
70,3.075535,3.127843,3.015235
71,3.082498,3.136664,3.017646
72,3.092494,3.140941,3.001394
73,3.104631,3.141679,3.019813
74,3.104631,3.141679,3.019813
75,3.117987,3.156237,3.030168
76,3.132758,3.164817,3.009859
77,3.118289,3.142771,3.000444
78,3.118289,3.142771,3.000444
79,3.14328,3.173563,2.985048
80,3.109334,3.161207,2.97374
81,3.135164,3.170646,2.973831
82,3.148848,3.172515,2.955418
83,3.14875,3.191947,2.967428
84,3.150276,3.175841,2.922933
85,3.153227,3.183398,2.927119
