Time,State1,State2,State3
0,3.150694,3.123665,3.152493
1,3.150694,3.123665,3.152493
2,3.150694,3.123665,3.152493
3,3.150694,3.123665,3.152493
4,3.150694,3.123665,3.152493
5,3.150694,3.123665,3.152493
6,3.150694,3.123665,3.152493
7,3.150694,3.123665,3.152493
8,3.150694,3.123665,3.152493
9,3.150694,3.123665,3.152493
10,3.150694,3.123665,3.152493
11,3.150694,3.123665,3.152493
12,3.150694,3.123665,3.152493
13,3.150694,3.123665,3.152493
14,3.150694,3.123665,3.152493
15,3.150694,3.123665,3.152493
16,3.150694,3.123665,3.152493
17,3.150694,3.123665,3.152493
18,3.150694,3.123665,3.152493
19,3.150694,3.123665,3.152493
20,3.150694,3.123665,3.152493
21,3.150694,3.123665,3.152493
22,3.150694,3.123665,3.152493
23,3.150694,3.123665,3.152493
24,3.206307,3.194513,3.19796
25,3.19373,3.21298,3.205124
26,3.19373,3.21298,3.205124
27,3.19373,3.21298,3.205124
28,3.24272,3.189274,3.186978
29,3.214658,3.117294,3.1369
30,3.185106,3.155423,3.097433
31,3.185106,3.155423,3.097433
32,3.137942,3.141145,3.094829
33,3.137942,3.141145,3.094829
34,3.06586,3.086592,3.113841
35,3.042571,3.126585,3.082041
36,3.042571,3.126585,3.082041
37,2.995381,3.107042,3.106833
38,2.993296,3.128727,3.119889
39,2.993296,3.128727,3.119889
40,2.993296,3.128727,3.119889
41,3.035147,3.140714,3.126713
42,3.035147,3.140714,3.126713
43,3.012708,3.141174,3.082626
44,2.997861,3.152776,3.098731
45,2.997861,3.152776,3.098731
46,2.986401,3.077014,3.121841
47,2.986401,3.077014,3.121841
48,2.937123,3.095139,3.146115
49,2.927444,3.116128,3.163058
50,2.911356,3.066061,3.170707
51,2.901324,3.065082,3.187707
52,2.905545,3.058588,3.180876
53,2.902267,3.064474,3.18688
54,2.902267,3.064474,3.18688
55,2.910173,3.076477,3.130273
56,2.90645,3.027905,3.111929
57,2.892642,2.98977,3.157672
58,2.920033,3.08078,3.129729
59,2.948868,3.024221,3.144798
60,2.911566,2.943522,3.171813
61,2.911566,2.943522,3.171813
62,2.911566,2.943522,3.171813
63,2.957217,2.951282,3.166708
64,2.957217,2.951282,3.166708
65,2.938649,2.922625,3.172382
66,2.968663,2.932701,3.168502
67,2.949432,2.869505,3.14624
68,2.961605,2.898503,3.133213
69,2.961605,2.898503,3.133213
70,2.961605,2.898503,3.133213
71,2.961605,2.898503,3.133213
72,2.960642,2.936026,3.147563
73,2.927962,2.929254,3.140126
74,2.959712,2.930791,3.131571
75,2.931119,2.924386,3.119354
76,2.945467,2.937627,3.096756
77,2.945467,2.937627,3.096756
